       wId wName                                          wCap        sId        nId
       149 Supplier#000000050____GERMANY                  3105         50          7
       150 Supplier#000000050____EGYPT                    3105         50          4
       151 Supplier#000000051____CANADA                   4146         51          3
       152 Supplier#000000051____SAUDI ARABIA             4146         51         20
       153 Supplier#000000051____EGYPT                    4146         51          4
       154 Supplier#000000052____CANADA                   3027         52          3
       155 Supplier#000000052____EGYPT                    3027         52          4
       156 Supplier#000000052____IRAN                     3027         52         10
       157 Supplier#000000053____JAPAN                    2841         53         12
       158 Supplier#000000053____BRAZIL                   2841         53          2
       159 Supplier#000000053____CANADA                   2841         53          3
       160 Supplier#000000054____BRAZIL                   2838         54          2
       161 Supplier#000000054____SAUDI ARABIA             2838         54         20
       162 Supplier#000000054____ALGERIA                  2838         54          0
       163 Supplier#000000055____UNITED KINGDOM           3027         55         23
       164 Supplier#000000055____IRAQ                     3027         55         11
       165 Supplier#000000055____BRAZIL                   3027         55          2
       166 Supplier#000000056____MOROCCO                  3114         56         15
       167 Supplier#000000056____EGYPT                    3114         56          4
       168 Supplier#000000056____SAUDI ARABIA             3114         56         20
       169 Supplier#000000057____CANADA                   2538         57          3
       170 Supplier#000000057____GERMANY                  2538         57          7
       171 Supplier#000000057____ALGERIA                  2538         57          0
       172 Supplier#000000058____ALGERIA                  2619         58          0
       173 Supplier#000000058____EGYPT                    2619         58          4
       174 Supplier#000000058____VIETNAM                  2619         58         21
       175 Supplier#000000059____CANADA                   3012         59          3
       176 Supplier#000000059____IRAN                     3012         59         10
       177 Supplier#000000059____ALGERIA                  3012         59          0
       178 Supplier#000000060____IRAN                     2802         60         10
       179 Supplier#000000060____GERMANY                  2802         60          7
       180 Supplier#000000060____ROMANIA                  2802         60         19
       181 Supplier#000000061____EGYPT                    2895         61          4
       182 Supplier#000000061____IRAN                     2895         61         10
       183 Supplier#000000061____MOZAMBIQUE               2895         61         16
       184 Supplier#000000062____INDONESIA                2799         62          9
       185 Supplier#000000062____EGYPT                    2799         62          4
       186 Supplier#000000062____SAUDI ARABIA             2799         62         20
       187 Supplier#000000063____IRAN                     2778         63         10
       188 Supplier#000000063____MOZAMBIQUE               2778         63         16
       189 Supplier#000000063____SAUDI ARABIA             2778         63         20
       190 Supplier#000000064____CANADA                   3276         64          3
       191 Supplier#000000064____IRAN                     3276         64         10
       192 Supplier#000000064____VIETNAM                  3276         64         21
       193 Supplier#000000065____CANADA                   2469         65          3
       194 Supplier#000000065____IRAN                     2469         65         10
       195 Supplier#000000065____UNITED KINGDOM           2469         65         23
       196 Supplier#000000066____EGYPT                    3495         66          4
       197 Supplier#000000066____CANADA                   3495         66          3
       198 Supplier#000000066____ALGERIA                  3495         66          0
       199 Supplier#000000067____CANADA                   2520         67          3
       200 Supplier#000000067____UNITED KINGDOM           2520         67         23
       201 Supplier#000000067____MOROCCO                  2520         67         15
       202 Supplier#000000068____CANADA                   3162         68          3
       203 Supplier#000000068____ETHIOPIA                 3162         68          5
       204 Supplier#000000068____EGYPT                    3162         68          4
       205 Supplier#000000069____CANADA                   2655         69          3
       206 Supplier#000000069____BRAZIL                   2655         69          2
       207 Supplier#000000069____ETHIOPIA                 2655         69          5
       208 Supplier#000000070____INDONESIA                2670         70          9
       209 Supplier#000000070____ROMANIA                  2670         70         19
       210 Supplier#000000070____IRAN                     2670         70         10
       211 Supplier#000000071____CANADA                   3267         71          3
       212 Supplier#000000071____ALGERIA                  3267         71          0
       213 Supplier#000000071____EGYPT                    3267         71          4
       214 Supplier#000000072____CANADA                   2748         72          3
       215 Supplier#000000072____EGYPT                    2748         72          4
       216 Supplier#000000072____IRAN                     2748         72         10
       217 Supplier#000000073____BRAZIL                   3882         73          2
       218 Supplier#000000073____JAPAN                    3882         73         12
       219 Supplier#000000073____SAUDI ARABIA             3882         73         20
       220 Supplier#000000074____IRAN                     2502         74         10
       221 Supplier#000000074____CANADA                   2502         74          3
       222 Supplier#000000074____JAPAN                    2502         74         12
       223 Supplier#000000075____BRAZIL                   3150         75          2
       224 Supplier#000000075____SAUDI ARABIA             3150         75         20
       225 Supplier#000000075____GERMANY                  3150         75          7
       226 Supplier#000000076____IRAN                     2775         76         10
       227 Supplier#000000076____BRAZIL                   2775         76          2
       228 Supplier#000000076____EGYPT                    2775         76          4
       229 Supplier#000000077____EGYPT                    3201         77          4
       230 Supplier#000000077____KENYA                    3201         77         14
       231 Supplier#000000077____JORDAN                   3201         77         13
       232 Supplier#000000078____CANADA                   2946         78          3
       233 Supplier#000000078____IRAN                     2946         78         10
       234 Supplier#000000078____ETHIOPIA                 2946         78          5
       235 Supplier#000000079____IRAN                     2946         79         10
       236 Supplier#000000079____ARGENTINA                2946         79          1
       237 Supplier#000000079____INDONESIA                2946         79          9
       238 Supplier#000000080____EGYPT                    2550         80          4
       239 Supplier#000000080____BRAZIL                   2550         80          2
       240 Supplier#000000080____IRAN                     2550         80         10
       241 Supplier#000000081____ALGERIA                  2664         81          0
       242 Supplier#000000081____JAPAN                    2664         81         12
       243 Supplier#000000081____BRAZIL                   2664         81          2
       244 Supplier#000000082____CANADA                   3012         82          3
       245 Supplier#000000082____IRAN                     3012         82         10
       246 Supplier#000000082____MOZAMBIQUE               3012         82         16
       247 Supplier#000000083____BRAZIL                   3024         83          2
       248 Supplier#000000083____EGYPT                    3024         83          4
       249 Supplier#000000083____INDONESIA                3024         83          9
       250 Supplier#000000084____BRAZIL                   2970         84          2
       251 Supplier#000000084____MOROCCO                  2970         84         15
       252 Supplier#000000084____ALGERIA                  2970         84          0
       253 Supplier#000000085____JORDAN                   2634         85         13
       254 Supplier#000000085____UNITED KINGDOM           2634         85         23
       255 Supplier#000000085____JAPAN                    2634         85         12
       256 Supplier#000000086____EGYPT                    2889         86          4
       257 Supplier#000000086____MOROCCO                  2889         86         15
       258 Supplier#000000086____CANADA                   2889         86          3
       259 Supplier#000000087____EGYPT                    3171         87          4
       260 Supplier#000000087____SAUDI ARABIA             3171         87         20
       261 Supplier#000000087____VIETNAM                  3171         87         21
       262 Supplier#000000088____ALGERIA                  2628         88          0
       263 Supplier#000000088____VIETNAM                  2628         88         21
       264 Supplier#000000088____IRAN                     2628         88         10
       265 Supplier#000000089____ALGERIA                  2904         89          0
       266 Supplier#000000089____IRAN                     2904         89         10
       267 Supplier#000000089____MOZAMBIQUE               2904         89         16
       268 Supplier#000000090____IRAN                     2787         90         10
       269 Supplier#000000090____MOROCCO                  2787         90         15
       270 Supplier#000000090____SAUDI ARABIA             2787         90         20
       271 Supplier#000000091____ALGERIA                  2544         91          0
       272 Supplier#000000091____KENYA                    2544         91         14
       273 Supplier#000000091____UNITED KINGDOM           2544         91         23
       274 Supplier#000000092____JAPAN                    2541         92         12
       275 Supplier#000000092____ALGERIA                  2541         92          0
       276 Supplier#000000092____ETHIOPIA                 2541         92          5
       277 Supplier#000000093____JORDAN                   2520         93         13
       278 Supplier#000000093____MOROCCO                  2520         93         15
       279 Supplier#000000093____EGYPT                    2520         93          4
       280 Supplier#000000094____BRAZIL                   2970         94          2
       281 Supplier#000000094____EGYPT                    2970         94          4
       282 Supplier#000000094____UNITED KINGDOM           2970         94         23
       283 Supplier#000000095____EGYPT                    2529         95          4
       284 Supplier#000000095____IRAN                     2529         95         10
       285 Supplier#000000095____CANADA                   2529         95          3
       286 Supplier#000000096____MOROCCO                  3081         96         15
       287 Supplier#000000096____CANADA                   3081         96          3
       288 Supplier#000000096____ALGERIA                  3081         96          0
       289 Supplier#000000097____BRAZIL                   2967         97          2
       290 Supplier#000000097____JAPAN                    2967         97         12
       291 Supplier#000000097____EGYPT                    2967         97          4
       292 Supplier#000000098____CANADA                   2808         98          3
       293 Supplier#000000098____IRAN                     2808         98         10
       294 Supplier#000000098____ALGERIA                  2808         98          0
       295 Supplier#000000099____INDONESIA                3681         99          9
       296 Supplier#000000099____BRAZIL                   3681         99          2
       297 Supplier#000000099____MOROCCO                  3681         99         15
       298 Supplier#000000100____IRAN                     2811        100         10
       299 Supplier#000000100____JAPAN                    2811        100         12
       300 Supplier#000000100____VIETNAM                  2811        100         21
